game_no|team_no|opp_team_no|home|j_no|pos|name|min|goals_against|assists|shots|saves|punches|corners_c|fouls_com|fouls_suf
2811170423|28|11|1|18|G|Nick Rimando|58|2|0|0|3|0|0|0|0
2811170423|28|11|1|24|G|Matt Van Oekel|32|1|0|0|0|0|0|0|0
2811170423|11|28|0|25|G|Alec Kann|90|1|0|0|1|1|1|0|0
2811170423|11|28|0|32|G|Kyle Reynish|0|0|0|0|0|0|0|0|0
2811170423|28|11|1|18|G|Nick Rimando|58|2|0|0|3|0|0|0|0
2811170423|28|11|1|24|G|Matt Van Oekel|32|1|0|0|0|0|0|0|0
2811170423|11|28|0|25|G|Alec Kann|90|1|0|0|1|1|1|0|0
2811170423|11|28|0|32|G|Kyle Reynish|0|0|0|0|0|0|0|0|0
1511170622|15|11|1|28|G|Bill Hamid|90|1|0|0|4|1|0|0|0
1511170622|15|11|1|1|G|Travis Worra|0|0|0|0|0|0|0|0|0
1511170622|11|15|0|25|G|Alec Kann|90|2|0|0|2|1|0|0|1
1511170622|11|15|0|32|G|Kyle Reynish|0|0|0|0|0|0|0|0|0
1511170622|15|11|1|28|G|Bill Hamid|90|1|0|0|4|1|0|0|0
1511170622|15|11|1|1|G|Travis Worra|0|0|0|0|0|0|0|0|0
1511170622|11|15|0|25|G|Alec Kann|90|2|0|0|2|1|0|0|1
1511170622|11|15|0|32|G|Kyle Reynish|0|0|0|0|0|0|0|0|0
2311170507|23|11|1|1|G|Sean Johnson|90|1|0|0|3|0|1|0|0
2311170507|23|11|1|25|G|Eirik Johansen|0|0|0|0|0|0|0|0|0
2311170507|11|23|0|25|G|Alec Kann|90|3|0|0|5|0|0|0|0
2311170507|11|23|0|23|G|Alex Tambakis|0|0|0|0|0|0|0|0|0
2311170507|23|11|1|1|G|Sean Johnson|90|1|0|0|3|0|1|0|0
2311170507|23|11|1|25|G|Eirik Johansen|0|0|0|0|0|0|0|0|0
2311170507|11|23|0|25|G|Alec Kann|90|3|0|0|5|0|0|0|0
2311170507|11|23|0|23|G|Alex Tambakis|0|0|0|0|0|0|0|0|0
2211171001|22|11|1|18|G|Brad Knighton|90|0|0|0|2|0|1|0|0
2211171001|22|11|1|1|G|Cody Cropper|0|0|0|0|0|0|0|0|0
2211171001|11|22|0|1|G|Brad Guzan|90|0|0|0|5|1|3|0|1
2211171001|11|22|0|32|G|Kyle Reynish|0|0|0|0|0|0|0|0|0
2211171001|22|11|1|18|G|Brad Knighton|90|0|0|0|2|0|1|0|0
