game_no|team_no|opp_team_no|home|date|time|datetime|goals_scored|goals_let|shots|sot|sofft|blocked_shots|corners|crosses|offsides|fouls|yellows|reds|total_passes|pass_acc|possession|duels_w|tackles_w|saves|clearances|opp_shots|opp_sot|opp_sofft|opp_blocked_shots|opp_corners|opp_crosses|opp_offsides|opp_fouls|opp_yellows|opp_reds|opp_total_passes|opp_pass_acc|opp_possession|opp_duels_w|opp_tackles_w|opp_saves|opp_clearances
2811170423|28|11|1|2017-04-23|02:30:00|2017-04-22 18:30:00|1|3|11|2|7|2|4|15|1|6|1|0|390|72 %|55.3 %|54|10|3|7|9|6|2|1|3|4|5|14|4|0|322|66 %|44.7 %|47|16|1|20
2811170423|11|28|0|2017-04-23|02:30:00|2017-04-22 18:30:00|3|1|9|6|2|1|3|4|5|14|4|0|322|66 %|44.7 %|47|16|1|20|11|2|7|2|4|15|1|6|1|0|390|72 %|55.3 %|54|10|3|7
1511170622|15|11|1|2017-06-22|00:30:00|2017-06-21 16:30:00|2|1|17|4|8|5|4|12|3|14|1|0|322|75 %|45.1 %|51|11|4|24|15|5|7|3|6|19|3|9|2|0|391|79 %|54.9 %|61|13|2|28
1511170622|11|15|0|2017-06-22|00:30:00|2017-06-21 16:30:00|1|2|15|5|7|3|6|19|3|9|2|0|391|79 %|54.9 %|61|13|2|28|17|4|8|5|4|12|3|14|1|0|322|75 %|45.1 %|51|11|4|24
2311170507|23|11|1|2017-05-07|21:00:00|2017-05-07 13:00:00|3|1|16|11|3|2|8|22|4|22|1|0|379|76 %|48.9 %|50|14|3|21|8|4|3|1|3|14|2|15|4|0|396|72 %|51.1 %|57|12|5|15
2311170507|11|23|0|2017-05-07|21:00:00|2017-05-07 13:00:00|1|3|8|4|3|1|3|14|2|15|4|0|396|72 %|51.1 %|57|12|5|15|16|11|3|2|8|22|4|22|1|0|379|76 %|48.9 %|50|14|3|21
2211171001|22|11|1|2017-10-01|00:30:00|2017-09-30 16:30:00|0|0|14|5|4|5|6|18|1|14|0|0|516|82 %|60.2 %|48|14|2|11|12|2|5|5|4|9|0|14|1|0|346|73 %|39.8 %|45|13|5|21
2211171001|11|22|0|2017-10-01|00:30:00|2017-09-30 16:30:00|0|0|12|2|5|5|4|9|0|14|1|0|346|73 %|39.8 %|45|13|5|21|14|5|4|5|6|18|1|14|0|0|516|82 %|60.2 %|48|14|2|11
1211170610|12|11|1|2017-06-10|21:00:00|2017-06-10 13:00:00|2|0|12|6|4|2|4|4|2|14|2|0|304|69 %|38.9 %|43|8|2|25|12|2|7|3|7|21|3|12|2|0|461|81 %|61.1 %|40|12|4|14
1211170610|11|12|0|2017-06-10|21:00:00|2017-06-10 13:00:00|0|2|12|2|7|3|7|21|3|12|2|0|461|81 %|61.1 %|40|12|4|14|12|6|4|2|4|4|2|14|2|0|304|69 %|38.9 %|43|8|2|25
1411170702|14|11|1|2017-07-02|00:30:00|2017-07-01 16:30:00|0|2|13|1|8|4|8|28|4|12|1|0|456|79 %|57.8 %|51|13|2|20|8|4|3|1|3|12|0|10|1|0|338|71 %|42.2 %|44|13|1|27
1411170702|11|14|0|2017-07-02|00:30:00|2017-07-01 16:30:00|2|0|8|4|3|1|3|12|0|10|1|0|338|71 %|42.2 %|44|13|1|27|13|1|8|4|8|28|4|12|1|0|456|79 %|57.8 %|51|13|2|20
2411171015|24|11|1|2017-10-15|22:00:00|2017-10-15 14:00:00|0|0|13|3|7|3|6|21|4|8|0|0|444|75 %|56.4 %|51|10|3|14|9|3|4|2|2|5|4|19|2|0|356|69 %|43.6 %|53|10|3|30
2411171015|11|24|0|2017-10-15|22:00:00|2017-10-15 14:00:00|0|0|9|3|4|2|2|5|4|19|2|0|356|69 %|43.6 %|53|10|3|30|13|3|7|3|6|21|4|8|0|0|444|75 %|56.4 %|51|10|3|14
1511180903|15|11|1|2018-09-03|00:30:00|2018-09-02 16:30:00|3|1|9|5|3|1|6|10|2|7|1|0|358|80 %|38.2 %|38|11|6|34|22|7|8|7|10|32|3|15|3|0|562|88 %|61.8 %|40|14|2|10
1511180903|11|15|0|2018-09-03|00:30:00|2018-09-02 16:30:00|1|3|22|7|8|7|10|32|3|15|3|0|562|88 %|61.8 %|40|14|2|10|9|5|3|1|6|10|2|7|1|0|358|80 %|38.2 %|38|11|6|34
2411180930|24|11|1|2018-09-30|18:00:00|2018-09-30 10:00:00|2|0|11|4|2|5|7|21|6|17|3|0|290|71 %|45 %|51|14|2|9|9|2|3|4|4|10|2|13|3|0|368|75 %|55 %|47|4|2|21
2411180930|11|24|0|2018-09-30|18:00:00|2018-09-30 10:00:00|0|2|9|2|3|4|4|10|2|13|3|0|368|75 %|55 %|47|4|2|21|11|4|2|5|7|21|6|17|3|0|290|71 %|45 %|51|14|2|9
2511170722|25|11|1|2017-07-22|00:00:00|2017-07-21 16:00:00|0|1|13|5|6|2|6|21|0|8|2|0|319|76 %|44.7 %|40|3|5|14|8|6|2|0|2|10|4|15|3|0|416|81 %|55.3 %|37|10|5|26
2511170722|11|25|0|2017-07-22|00:00:00|2017-07-21 16:00:00|1|0|8|6|2|0|2|10|4|15|3|0|416|81 %|55.3 %|37|10|5|26|13|5|6|2|6|21|0|8|2|0|319|76 %|44.7 %|40|3|5|14
1711180303|17|11|1|2018-03-03|20:30:00|2018-03-03 12:30:00|4|0|13|10|3|0|8|20|1|8|1|0|360|77 %|40.6 %|49|10|2|29|13|2|8|3|4|21|2|10|3|0|535|83 %|59.4 %|49|15|6|21
1711180303|11|17|0|2018-03-03|20:30:00|2018-03-03 12:30:00|0|4|13|2|8|3|4|21|2|10|3|0|535|83 %|59.4 %|49|15|6|21|13|10|3|0|8|20|1|8|1|0|360|77 %|40.6 %|49|10|2|29
2311180609|23|11|1|2018-06-09|17:30:00|2018-06-09 09:30:00|1|1|25|10|11|4|13|29|7|15|2|0|481|81 %|60.6 %|54|12|1|7|5|2|2|1|1|9|2|10|2|0|323|66 %|39.4 %|51|14|9|23
2311180609|11|23|0|2018-06-09|17:30:00|2018-06-09 09:30:00|1|1|5|2|2|1|1|9|2|10|2|0|323|66 %|39.4 %|51|14|9|23|25|10|11|4|13|29|7|15|2|0|481|81 %|60.6 %|54|12|1|7
1411180614|14|11|1|2018-06-14|00:30:00|2018-06-13 16:30:00|0|2|12|3|5|4|5|19|2|12|1|0|451|81 %|46.8 %|43|15|1|12|6|3|2|1|2|9|0|10|3|0|522|82 %|53.2 %|40|8|3|17
1411180614|11|14|0|2018-06-14|00:30:00|2018-06-13 16:30:00|2|0|6|3|2|1|2|9|0|10|3|0|522|82 %|53.2 %|40|8|3|17|12|3|5|4|5|19|2|12|1|0|451|81 %|46.8 %|43|15|1|12
2711170514|27|11|1|2017-05-14|21:00:00|2017-05-14 13:00:00|1|1|13|4|5|4|5|17|2|19|3|0|238|65 %|30.2 %|34|12|3|23|7|3|2|2|4|14|1|9|2|0|564|82 %|69.8 %|46|11|4|16
2711170514|11|27|0|2017-05-14|21:00:00|2017-05-14 13:00:00|1|1|7|3|2|2|4|14|1|9|2|0|564|82 %|69.8 %|46|11|4|16|13|4|5|4|5|17|2|19|3|0|238|65 %|30.2 %|34|12|3|23
3211170409|32|11|1|2017-04-09|00:30:00|2017-04-08 16:30:00|2|2|20|9|7|4|6|16|1|11|1|0|440|78 %|52.1 %|43|6|3|6|6|5|1|0|2|7|2|13|2|1|413|74 %|47.9 %|54|20|7|27
3211170409|11|32|0|2017-04-09|00:30:00|2017-04-08 16:30:00|2|2|6|5|1|0|2|7|2|13|2|1|413|74 %|47.9 %|54|20|7|27|20|9|7|4|6|16|1|11|1|0|440|78 %|52.1 %|43|6|3|6
3311170603|33|11|1|2017-06-03|22:30:00|2017-06-03 14:30:00|3|1|16|5|6|5|8|17|3|17|1|0|257|66 %|33.6 %|40|11|1|16|7|3|2|2|4|16|1|9|2|0|520|82 %|66.4 %|44|9|2|24
3311170603|11|33|0|2017-06-03|22:30:00|2017-06-03 14:30:00|1|3|7|3|2|2|4|16|1|9|2|0|520|82 %|66.4 %|44|9|2|24|16|5|6|5|8|17|3|17|1|0|257|66 %|33.6 %|40|11|1|16
3211181028|32|11|1|2018-10-28|20:30:00|2018-10-28 12:30:00|4|1|10|7|3|0|1|4|4|10|0|0|417|73 %|43.3 %|44|7|1|22|17|2|13|2|3|21|4|11|0|0|537|80 %|56.7 %|44|11|3|7
3211181028|11|32|0|2018-10-28|20:30:00|2018-10-28 12:30:00|1|4|17|2|13|2|3|21|4|11|0|0|537|80 %|56.7 %|44|11|3|7|10|7|3|0|1|4|4|10|0|0|417|73 %|43.3 %|44|7|1|22
3011170401|30|11|1|2017-04-01|03:00:00|2017-03-31 19:00:00|0|0|13|1|8|4|6|29|4|7|0|0|468|79 %|50.2 %|57|12|3|10|11|3|4|4|3|9|2|18|2|0|485|79 %|49.8 %|49|19|1|23
3011170401|11|30|0|2017-04-01|03:00:00|2017-03-31 19:00:00|0|0|11|3|4|4|3|9|2|18|2|0|485|79 %|49.8 %|49|19|1|23|13|1|8|4|6|29|4|7|0|0|468|79 %|50.2 %|57|12|3|10
2611180708|26|11|1|2018-07-08|00:00:00|2018-07-07 16:00:00|0|2|18|3|12|3|5|16|4|17|2|0|438|81 %|52.5 %|52|2|6|11|16|8|6|2|6|13|1|7|1|0|396|76 %|47.5 %|62|16|3|16
2611180708|11|26|0|2018-07-08|00:00:00|2018-07-07 16:00:00|2|0|16|8|6|2|6|13|1|7|1|0|396|76 %|47.5 %|62|16|3|16|18|3|12|3|5|16|4|17|2|0|438|81 %|52.5 %|52|2|6|11
2211180531|22|11|1|2018-05-31|00:30:00|2018-05-30 16:30:00|1|1|9|5|3|1|5|13|5|16|3|0|426|74 %|47.3 %|48|12|6|17|12|7|1|4|5|14|2|15|3|0|482|74 %|52.7 %|63|11|4|21
2211180531|11|22|0|2018-05-31|00:30:00|2018-05-30 16:30:00|1|1|12|7|1|4|5|14|2|15|3|0|482|74 %|52.7 %|63|11|4|21|9|5|3|1|5|13|5|16|3|0|426|74 %|47.3 %|48|12|6|17
1311180915|13|11|1|2018-09-15|20:30:00|2018-09-15 12:30:00|0|3|18|3|10|5|5|10|3|11|3|0|431|86 %|49.3 %|34|4|3|6|8|6|2|0|2|8|2|13|1|0|443|86 %|50.7 %|32|8|3|6
1311180915|11|13|0|2018-09-15|20:30:00|2018-09-15 12:30:00|3|0|8|6|2|0|2|8|2|13|1|0|443|86 %|50.7 %|32|8|3|6|18|3|10|5|5|10|3|11|3|0|431|86 %|49.3 %|34|4|3|6
2111180729|21|11|1|2018-07-29|00:00:00|2018-07-28 16:00:00|1|2|12|7|4|1|5|18|1|9|0|0|489|85 %|55.8 %|31|8|6|10|13|8|4|1|2|9|3|11|2|0|392|80 %|44.2 %|56|21|6|21
2111180729|11|21|0|2018-07-29|00:00:00|2018-07-28 16:00:00|2|1|13|8|4|1|2|9|3|11|2|0|392|80 %|44.2 %|56|21|6|21|12|7|4|1|5|18|1|9|0|0|489|85 %|55.8 %|31|8|6|10
1211180506|12|11|1|2018-05-06|01:30:00|2018-05-05 17:30:00|1|2|14|3|8|3|4|24|2|10|2|0|425|80 %|50 %|52|13|4|11|10|6|3|1|1|7|5|8|3|0|449|80 %|50 %|67|21|2|27
1211180506|11|12|0|2018-05-06|01:30:00|2018-05-05 17:30:00|2|1|10|6|3|1|1|7|5|8|3|0|449|80 %|50 %|67|21|2|27|14|3|8|3|4|24|2|10|2|0|425|80 %|50 %|52|13|4|11
2611170827|26|11|1|2017-08-27|00:00:00|2017-08-26 16:00:00|2|2|13|6|4|3|5|10|1|18|2|1|261|67 %|31.6 %|46|12|3|22|18|5|7|6|7|20|2|13|1|0|563|86 %|68.4 %|51|9|4|7
2611170827|11|26|0|2017-08-27|00:00:00|2017-08-26 16:00:00|2|2|18|5|7|6|7|20|2|13|1|0|563|86 %|68.4 %|51|9|4|7|13|6|4|3|5|10|1|18|2|1|261|67 %|31.6 %|46|12|3|22
1811180422|18|11|1|2018-04-22|03:30:00|2018-04-21 19:30:00|0|2|8|1|5|2|7|26|4|16|3|0|411|81 %|45.3 %|36|5|5|18|20|7|11|2|4|11|1|12|3|0|517|83 %|54.7 %|45|8|1|25
1811180422|11|18|0|2018-04-22|03:30:00|2018-04-21 19:30:00|2|0|20|7|11|2|4|11|1|12|3|0|517|83 %|54.7 %|45|8|1|25|8|1|5|2|7|26|4|16|3|0|411|81 %|45.3 %|36|5|5|18
2511180513|25|11|1|2018-05-13|23:00:00|2018-05-13 15:00:00|1|2|11|6|2|3|9|26|1|12|5|0|437|82 %|55 %|44|8|1|8|8|4|4|0|1|13|0|10|1|0|366|81 %|45 %|44|11|5|29
2511180513|11|25|0|2018-05-13|23:00:00|2018-05-13 15:00:00|2|1|8|4|4|0|1|13|0|10|1|0|366|81 %|45 %|44|11|5|29|11|6|2|3|9|26|1|12|5|0|437|82 %|55 %|44|8|1|8
2911180920|29|11|1|2018-09-20|04:00:00|2018-09-19 20:00:00|3|4|9|6|1|2|3|13|3|8|1|0|380|78 %|44.1 %|42|11|4|18|19|9|7|3|11|28|2|13|2|0|469|83 %|55.9 %|44|14|3|12
2911180920|11|29|0|2018-09-20|04:00:00|2018-09-19 20:00:00|4|3|19|9|7|3|11|28|2|13|2|0|469|83 %|55.9 %|44|14|3|12|9|6|1|2|3|13|3|8|1|0|380|78 %|44.1 %|42|11|4|18
2411181130|24|11|1|2018-11-30|00:30:00|2018-11-29 16:30:00|1|0|13|6|5|2|6|26|3|11|1|0|562|75 %|69.1 %|63|15|4|7|6|4|0|2|4|7|1|13|0|0|258|49 %|30.9 %|78|20|5|59
2411181130|11|24|0|2018-11-30|00:30:00|2018-11-29 16:30:00|0|1|6|4|0|2|4|7|1|13|0|0|258|49 %|30.9 %|78|20|5|59|13|6|5|2|6|26|3|11|1|0|562|75 %|69.1 %|63|15|4|7
2111170415|21|11|1|2017-04-15|18:00:00|2017-04-15 10:00:00|2|1|22|5|9|8|6|21|2|14|2|0|403|78 %|55.4 %|41|15|0|11|6|1|3|2|4|11|3|8|1|0|330|72 %|44.6 %|44|9|3|35
2111170415|11|21|0|2017-04-15|18:00:00|2017-04-15 10:00:00|1|2|6|1|3|2|4|11|3|8|1|0|330|72 %|44.6 %|44|9|3|35|22|5|9|8|6|21|2|14|2|0|403|78 %|55.4 %|41|15|0|11
2311181105|23|11|1|2018-11-05|00:30:00|2018-11-04 16:30:00|0|1|8|0|3|5|9|21|3|18|2|0|420|76 %|56.5 %|72|14|3|20|11|4|5|2|7|16|3|21|3|0|325|62 %|43.5 %|61|14|0|27
2311181105|11|23|0|2018-11-05|00:30:00|2018-11-04 16:30:00|1|0|11|4|5|2|7|16|3|21|3|0|325|62 %|43.5 %|61|14|0|27|8|0|3|5|9|21|3|18|2|0|420|76 %|56.5 %|72|14|3|20
2011170312|20|11|1|2017-03-12|21:00:00|2017-03-12 13:00:00|1|6|18|7|5|6|6|22|1|13|3|0|367|66 %|49.9 %|54|20|2|13|10|8|2|0|2|5|2|14|2|0|386|63 %|50.1 %|59|24|6|30
