game_no|home_team|home_team_no|away_team|away_team_no|home_score|away_score|check_hg|check_ag|date|time|time_matched|field|location|attendance|weather
2811170423|Real Salt Lake|28|Atlanta|11|1|3|1|3|Sat, Apr 22|9:30 PM ET|2017-04-22 18:30:00|MLS at Rio Tinto Stadium|Sandy, UT|Attendance 18946|Weather Clear
1511170622|D.C. United|15|Atlanta|11|2|1|2|1|Wed, Jun 21|7:30 PM ET|2017-06-21 16:30:00|MLS at RFK Stadium|Washington, DC|Attendance 14594|Weather Clear
2311170507|NYCFC|23|Atlanta|11|3|1|3|1|Sun, May 7|4:00 PM ET|2017-05-07 13:00:00|MLS at Yankee Stadium|Bronx, NY|Attendance 25605|Weather Clear
2211171001|New England|22|Atlanta|11|0|0|0|0|Sat, Sep 30|7:30 PM ET|2017-09-30 16:30:00|MLS at Gillette Stadium|Foxborough, MA|Attendance 21925|Weather Clear
1211170610|Chicago|12|Atlanta|11|2|0|2|0|Sat, Jun 10|4:00 PM ET|2017-06-10 13:00:00|MLS at SeatGeek Stadium|Bridgeview, IL|Attendance 18453|Weather Sunny
1411170702|Columbus|14|Atlanta|11|0|2|0|2|Sat, Jul 1|7:30 PM ET|2017-07-01 16:30:00|MLS at MAPFRE Stadium|Columbus, OH|Attendance 20391|Weather Cloudy
2411171015|NY Red Bulls|24|Atlanta|11|0|0|0|0|Sun, Oct 15|5:00 PM ET|2017-10-15 14:00:00|MLS at Red Bull Arena|Harrison, NJ|Attendance 25219|Weather Clear
1511180903|D.C. United|15|Atlanta|11|3|1|3|1|Sun, Sep 2|7:30 PM ET|2018-09-02 16:30:00|MLS at Audi Field|Washington, DC|Attendance 20557|Weather Partly Cloudy
2411180930|NY Red Bulls|24|Atlanta|11|2|0|2|0|Sun, Sep 30|1:00 PM ET|2018-09-30 10:00:00|MLS at Red Bull Arena|Harrison, NJ|Attendance 22057|Weather Clear
2511170722|Orlando|25|Atlanta|11|0|1|0|1|Fri, Jul 21|7:00 PM ET|2017-07-21 16:00:00|MLS at Orlando City Stadium|Orlando, FL|Attendance 25527|Weather Cloudy
1711180303|Houston|17|Atlanta|11|4|0|4|0|Sat, Mar 3|3:30 PM ET|2018-03-03 12:30:00|MLS at BBVA Compass Stadium|Houston, TX|Attendance 20377|Weather Clear
2311180609|NYCFC|23|Atlanta|11|1|1|1|1|Sat, Jun 9|12:30 PM ET|2018-06-09 09:30:00|MLS at Yankee Stadium|Bronx, NY|Attendance 25628|Weather Clear
1411180614|Columbus|14|Atlanta|11|0|2|0|2|Wed, Jun 13|7:30 PM ET|2018-06-13 16:30:00|MLS at MAPFRE Stadium|Columbus, OH|Attendance 10132|Weather Clear
2711170514|Portland|27|Atlanta|11|1|1|1|1|Sun, May 14|4:00 PM ET|2017-05-14 13:00:00|MLS at Providence Park|Portland, OR|Attendance 21144|Weather Cloudy
3211170409|Toronto FC|32|Atlanta|11|2|2|2|2|Sat, Apr 8|7:30 PM ET|2017-04-08 16:30:00|MLS at BMO Field|Toronto, ON|Attendance 26812|Weather Sunny
3311170603|Vancouver|33|Atlanta|11|3|1|3|1|Sat, Jun 3|5:30 PM ET|2017-06-03 14:30:00|MLS at BC Place|Vancouver, BC|Attendance 19816|Weather Clear
3211181028|Toronto FC|32|Atlanta|11|4|1|4|1|Sun, Oct 28|4:30 PM ET|2018-10-28 12:30:00|MLS at BMO Field|Toronto, ON|Attendance 23895|Weather Cloudy
3011170401|Seattle|30|Atlanta|11|0|0|0|0|Fri, Mar 31|10:00 PM ET|2017-03-31 19:00:00|MLS at CenturyLink Field|Seattle, WA|Attendance 40182|Weather Clear
2611180708|Philadelphia|26|Atlanta|11|0|2|0|2|Sat, Jul 7|7:00 PM ET|2018-07-07 16:00:00|MLS at Talen Energy Stadium|Chester, PA|Attendance 17025|Weather Sunny
2211180531|New England|22|Atlanta|11|1|1|1|1|Wed, May 30|7:30 PM ET|2018-05-30 16:30:00|MLS at Gillette Stadium|Foxborough, MA|Attendance 10547|Weather Sunny
1311180915|Colorado|13|Atlanta|11|0|3|0|3|Sat, Sep 15|3:30 PM ET|2018-09-15 12:30:00|MLS at DICK'S Sporting Goods Park|Commerce City, CO|Attendance 14788|Weather Clear
2111180729|Montreal|21|Atlanta|11|1|2|1|2|Sat, Jul 28|7:00 PM ET|2018-07-28 16:00:00|MLS at Stade Saputo|Montréal, QC|Attendance 19064|Weather Clear
1211180506|Chicago|12|Atlanta|11|1|2|1|2|Sat, May 5|8:30 PM ET|2018-05-05 17:30:00|MLS at SeatGeek Stadium|Bridgeview, IL|Attendance 15024|Weather Clear
2611170827|Philadelphia|26|Atlanta|11|2|2|2|2|Sat, Aug 26|7:00 PM ET|2017-08-26 16:00:00|MLS at Talen Energy Stadium|Chester, PA|Attendance 17221|Weather Clear
1811180422|LA Galaxy|18|Atlanta|11|0|2|0|2|Sat, Apr 21|10:30 PM ET|2018-04-21 19:30:00|MLS at Dignity Health Sports Park|Carson, CA|Attendance 25846|Weather Clear
2511180513|Orlando|25|Atlanta|11|1|2|1|2|Sun, May 13|6:00 PM ET|2018-05-13 15:00:00|MLS at Orlando City Stadium|Orlando, FL|Attendance 24232|Weather Clear
2911180920|San Jose|29|Atlanta|11|3|4|3|4|Wed, Sep 19|11:00 PM ET|2018-09-19 20:00:00|MLS at Avaya Stadium|San Jose, CA|Attendance 15948|Weather Clear
2411181130|NY Red Bulls|24|Atlanta|11|1|0|1|0|Thu, Nov 29|7:30 PM ET|2018-11-29 16:30:00|MLS Playoffs at Red Bull Arena|Harrison, NJ|Attendance 22137|Weather Clear
2111170415|Montreal|21|Atlanta|11|2|1|2|1|Sat, Apr 15|1:00 PM ET|2017-04-15 10:00:00|MLS at Stade Saputo|Montréal, QC|Attendance 17144|Weather Sunny
2311181105|NYCFC|23|Atlanta|11|0|1|0|1|Sun, Nov 4|7:30 PM ET|2018-11-04 16:30:00|MLS Playoffs at Yankee Stadium|Bronx, NY|Attendance 19198|Weather Clear
2011170312|Minnesota|20|Atlanta|11|1|6|1|6|Sun, Mar 12|5:00 PM ET|2017-03-12 13:00:00|MLS at TCF Bank Stadium|Minneapolis, MN|Attendance 35043|Weather Snow/hail
2511180825|Orlando|25|Atlanta|11|1|2|1|2|Fri, Aug 24|8:00 PM ET|2018-08-24 17:00:00|MLS at Orlando City Stadium|Orlando, FL|Attendance 25058|Weather Clear
1511170824|D.C. United|15|Atlanta|11|1|0|1|0|Wed, Aug 23|7:30 PM ET|2017-08-23 16:30:00|MLS at RFK Stadium|Washington, DC|Attendance 11972|Weather Sunny
3111170807|Sporting KC|31|Atlanta|11|1|1|1|1|Sun, Aug 6|8:00 PM ET|2017-08-06 17:00:00|MLS at Children's Mercy Park|Kansas City, KS|Attendance 19481|Weather Clear
2011180401|Minnesota|20|Atlanta|11|0|1|0|1|Sat, Mar 31|8:00 PM ET|2018-03-31 17:00:00|MLS at TCF Bank Stadium|Minneapolis, MN|Attendance 18057|Weather Sunny
1611180705|FC Dallas|16|Atlanta|11|3|2|3|2|Wed, Jul 4|8:00 PM ET|2018-07-04 17:00:00|MLS at Toyota Stadium|Frisco, TX|Attendance 17298|Weather Partly Cloudy
2212160724|New England|22|Chicago|12|1|0|1|0|Sat, Jul 23|7:30 PM ET|2016-07-23 16:30:00|MLS at Gillette Stadium|Foxborough, MA|Attendance 21872|Weather Sunny
3212130912|Toronto FC|32|Chicago|12|1|1|1|1|Wed, Sep 11|7:30 PM ET|2013-09-11 16:30:00|MLS at BMO Field|Toronto, ON|Attendance 15217|Weather Cloudy
1512151018|D.C. United|15|Chicago|12|4|0|4|0|Sun, Oct 18|2:00 PM ET|2015-10-18 11:00:00|MLS at RFK Stadium|Washington, DC|Attendance 20104|Weather Cloudy
2412170430|NY Red Bulls|24|Chicago|12|2|1|2|1|Sat, Apr 29|7:30 PM ET|2017-04-29 16:30:00|MLS at Red Bull Arena|Harrison, NJ|Attendance 22814|Weather Clear
3212180428|Toronto FC|32|Chicago|12|2|2|2|2|Sat, Apr 28|3:00 PM ET|2018-04-28 12:00:00|MLS at BMO Field|Toronto, ON|Attendance 26331|Weather Cloudy
2212130818|New England|22|Chicago|12|2|0|2|0|Sat, Aug 17|7:30 PM ET|2013-08-17 16:30:00|MLS at Gillette Stadium|Foxborough, MA|Attendance 14630|Weather Cloudy
3212161023|Toronto FC|32|Chicago|12|3|2|3|2|Sun, Oct 23|4:00 PM ET|2016-10-23 13:00:00|MLS at BMO Field|Toronto, ON|Attendance 25235|Weather Partly Cloudy
2912140724|San Jose|29|Chicago|12|5|1|5|1|Wed, Jul 23|10:30 PM ET|2014-07-23 19:30:00|MLS at Buck Shaw Stadium|Santa Clara, CA|Attendance 10525|Weather Partly Cloudy
1612180715|FC Dallas|16|Chicago|12|3|1|3|1|Sat, Jul 14|8:00 PM ET|2018-07-14 17:00:00|MLS at Toyota Stadium|Frisco, TX|Attendance 16000|Weather Clear
2412140511|NY Red Bulls|24|Chicago|12|4|5|4|5|Sat, May 10|7:00 PM ET|2014-05-10 16:00:00|MLS at Red Bull Arena|Attendance 23776||
1612160717|FC Dallas|16|Chicago|12|3|1|3|1|Sat, Jul 16|9:00 PM ET|2016-07-16 18:00:00|MLS at Toyota Stadium|Frisco, TX|Attendance 13942|Weather Clear
1812130303|LA Galaxy|18|Chicago|12|4|0|4|0|Sun, Mar 3|5:00 PM ET|2013-03-03 14:00:00|MLS at The Home Depot Center|Attendance 20124|Weather Partly Cloudy|
3112141011|Sporting KC|31|Chicago|12|2|0|2|0|Fri, Oct 10|8:30 PM ET|2014-10-10 17:30:00|MLS at Children's Mercy Park|Kansas City, KS|Attendance 18938|Weather Rain
2812130526|Real Salt Lake|28|Chicago|12|1|1|1|1|Sat, May 25|9:00 PM ET|2013-05-25 18:00:00|MLS at Rio Tinto Stadium|Sandy, UT|Attendance 18293|Weather Cloudy
2212140713|New England|22|Chicago|12|0|1|0|1|Sat, Jul 12|7:30 PM ET|2014-07-12 16:30:00|MLS at Gillette Stadium|Foxborough, MA|Attendance 15406|Weather Sunny
1412150719|Columbus|14|Chicago|12|3|1|3|1|Sun, Jul 19|5:00 PM ET|2015-07-19 14:00:00|MLS at MAPFRE Stadium|Columbus, OH|Attendance 15455|Weather Cloudy
2112150924|Montreal|21|Chicago|12|2|1|2|1|Wed, Sep 23|8:00 PM ET|2015-09-23 17:00:00|MLS at Stade Saputo|Montréal, QC|Attendance 17832|Weather Clear
3312180708|Vancouver|33|Chicago|12|3|2|3|2|Sat, Jul 7|10:30 PM ET|2018-07-07 19:30:00|MLS at BC Place|Vancouver, BC|Attendance 22120|Weather Clear
1512170520|D.C. United|15|Chicago|12|0|1|0|1|Sat, May 20|4:00 PM ET|2017-05-20 13:00:00|MLS at RFK Stadium|Washington, DC|Attendance 20618|Weather Clear
3412140309|Chivas USA|34|Chicago|12|3|2|3|2|Sun, Mar 9|3:00 PM ET|2014-03-09 11:00:00|MLS at Dignity Health Sports Park|Carson, CA|Attendance 8320|Weather Sunny
1512131005|D.C. United|15|Chicago|12|0|3|0|3|Fri, Oct 4|8:00 PM ET|2013-10-04 17:00:00|MLS at RFK Stadium|Washington, DC|Attendance 13949|Weather Partly Cloudy
3212170422|Toronto FC|32|Chicago|12|3|1|3|1|Fri, Apr 21|7:30 PM ET|2017-04-21 16:30:00|MLS at BMO Field|Toronto, ON|Attendance 27097|Weather Cloudy
2812160807|Real Salt Lake|28|Chicago|12|3|1|3|1|Sat, Aug 6|10:00 PM ET|2016-08-06 19:00:00|MLS at Rio Tinto Stadium|Sandy, UT|Attendance 19909|Weather Clear
3212140824|Toronto FC|32|Chicago|12|2|2|2|2|Sat, Aug 23|7:00 PM ET|2014-08-23 16:00:00|MLS at BMO Field|Toronto, ON|Attendance 22591|Weather Partly Cloudy
3312130715|Vancouver|33|Chicago|12|3|1|3|1|Sun, Jul 14|7:00 PM ET|2013-07-14 16:00:00|MLS at BC Place|Vancouver, BC|Attendance 20206|Weather Sunny
2612130519|Philadelphia|26|Chicago|12|1|0|1|0|Sat, May 18|7:30 PM ET|2013-05-18 16:30:00|MLS at Talen Energy Stadium|Chester, PA|Attendance 18575|Weather Cloudy
3012180624|Seattle|30|Chicago|12|1|1|1|1|Sat, Jun 23|10:00 PM ET|2018-06-23 19:00:00|MLS at CenturyLink Field|Seattle, WA|Attendance 39513|Weather Sunny
2112170903|Montreal|21|Chicago|12|0|1|0|1|Sat, Sep 2|7:00 PM ET|2017-09-02 16:00:00|MLS at Stade Saputo|Montréal, QC|Attendance 19619|Weather Clear
1412150523|Columbus|14|Chicago|12|2|2|2|2|Fri, May 22|8:00 PM ET|2015-05-22 17:00:00|MLS at MAPFRE Stadium|Columbus, OH|Attendance 13118|Weather Cloudy
1412161002|Columbus|14|Chicago|12|3|0|3|0|Sat, Oct 1|7:30 PM ET|2016-10-01 16:30:00|MLS at MAPFRE Stadium|Columbus, OH|Attendance 20034|Weather Cloudy
3112130316|Sporting KC|31|Chicago|12|0|0|0|0|Sat, Mar 16|3:00 PM ET|2013-03-16 11:00:00|MLS at Children's Mercy Park|Kansas City, KS|Attendance 19868|Weather Cloudy
2612130804|Philadelphia|26|Chicago|12|1|2|1|2|Sat, Aug 3|8:00 PM ET|2013-08-03 17:00:00|MLS at Talen Energy Stadium|Chester, PA|Attendance 18295|Weather Cloudy
2112180819|Montreal|21|Chicago|12|2|1|2|1|Sat, Aug 18|7:30 PM ET|2018-08-18 16:30:00|MLS at Stade Saputo|Montréal, QC|Attendance 18831|Weather Clear
1412180513|Columbus|14|Chicago|12|3|0|3|0|Sat, May 12|7:30 PM ET|2018-05-12 16:30:00|MLS at MAPFRE Stadium|Columbus, OH|Attendance 11108|Weather Cloudy
1712140928|Houston|17|Chicago|12|2|0|2|0|Sun, Sep 28|3:00 PM ET|2014-09-28 12:00:00|MLS at BBVA Compass Stadium|Houston, TX|Attendance 20262|Weather Cloudy
2212150614|New England|22|Chicago|12|2|0|2|0|Sat, Jun 13|7:30 PM ET|2015-06-13 16:30:00|MLS at Gillette Stadium|Foxborough, MA|Attendance 15775|Weather Clear
2612160623|Philadelphia|26|Chicago|12|4|3|4|3|Wed, Jun 22|7:00 PM ET|2016-06-22 16:00:00|MLS at Talen Energy Stadium|Chester, PA|Attendance 16667|Weather Partly Cloudy
2612170924|Philadelphia|26|Chicago|12|3|1|3|1|Sat, Sep 23|7:00 PM ET|2017-09-23 16:00:00|MLS at Talen Energy Stadium|Chester, PA|Attendance 18619|Weather Clear
