game_no|team_no|opp_team_no|home|j_no|pos|name|minutes|goals|assists|shots|sog|corners|offsides|fouls_com|fouls_suf
2811170423|28|11|1|28|D|Chris Schuler|90|0|0|0|0|0|0|1|1
2811170423|28|11|1|16|D|Chris Wingert|71|0|0|1|1|0|0|1|0
2811170423|28|11|1|25|D|Danilo Acosta|90|0|0|0|0|0|0|0|2
2811170423|28|11|1|17|D|Demar Phillips|90|0|0|0|0|0|0|0|0
2811170423|28|11|1|11|M|Albert Rusnák|90|1|0|3|1|4|0|0|1
2811170423|28|11|1|5|M|Kyle Beckerman|90|0|0|1|0|0|0|2|1
2811170423|28|11|1|19|M|Luke Mulholland|85|0|1|0|0|0|0|0|3
2811170423|28|11|1|27|F|Brooks Lennon|90|0|0|0|0|0|0|1|0
2811170423|28|11|1|10|F|Joao Plata|90|0|0|2|0|0|0|0|3
2811170423|28|11|1|14|F|Yura Movsisyan|90|0|0|1|0|0|1|1|1
2811170423|28|11|1|6|D|Justin Schmidt|0|0|0|0|0|0|0|0|0
2811170423|28|11|1|3|D|Reagan Dunk|0|0|0|0|0|0|0|0|0
2811170423|28|11|1|12|M|Omar Holness|0|0|0|0|0|0|0|0|0
2811170423|28|11|1|23|M|Sebastián Saucedo|19|0|0|2|0|0|0|0|1
2811170423|28|11|1|20|F|Luis Silva|5|0|0|1|0|0|0|0|0
2811170423|28|11|1|22|F|Ricardo Velazco|0|0|0|0|0|0|0|0|0
2811170423|11|28|0|4|D|Greg Garza|90|0|0|0|0|0|0|2|1
2811170423|11|28|0|5|D|Leandro González Pirez|90|0|0|0|0|0|0|1|0
2811170423|11|28|0|3|D|Michael Parkhurst|90|0|0|0|0|0|0|2|0
2811170423|11|28|0|2|D|Tyrone Mears|90|0|0|0|0|0|1|0|0
2811170423|11|28|0|14|M|Carlos Carmona|90|0|0|0|0|0|0|4|0
2811170423|11|28|0|15|M|Héctor Villalba|78|1|0|3|2|0|1|1|0
2811170423|11|28|0|18|M|Jeff Larentowicz|90|0|0|0|0|0|0|0|0
2811170423|11|28|0|10|M|Miguel Almirón|90|0|1|3|2|3|3|1|1
2811170423|11|28|0|11|M|Yamil Asad|89|1|0|2|1|0|0|3|2
2811170423|11|28|0|9|F|Kenwyne Jones|89|0|0|0|0|0|0|0|1
2811170423|11|28|0|21|D|Mark Bloom|0|0|0|0|0|0|0|0|0
2811170423|11|28|0|6|D|Miles Robinson|0|0|0|0|0|0|0|0|0
2811170423|11|28|0|16|M|Chris McCann|0|0|0|0|0|0|0|0|0
2811170423|11|28|0|24|M|Julian Gressel|12|0|1|0|0|0|0|0|0
2811170423|11|28|0|8|M|Kevin Kratz|1|0|0|0|0|0|0|0|0
