First Name|Last Name|Club|Position|Base Salary|Total Compensation
Adrian|Zendejas|Sporting Kansas City|GK|55650|55650
Reto|Ziegler|FC Dallas|D|750000|800000
Walker|Zimmerman|LAFC|D|235000|235000
Sal|Zizzo|Atlanta United|D|130000|130000
Kyle|Zobeck|FC Dallas|GK|67500|67500
Graham|Zusi|Sporting Kansas City|D|750000|782102
Jared|Watts|Houston Dynamo|D-M|92500|92500
Chris|Wehan|San Jose Earthquakes|M|54492|57992
Andrew|Wenger|Houston Dynamo|M|230000|230000
Andrew|Wheeler-Omiunu|Atlanta United|M|55654|55654
Brian|White|New York Red Bulls|F|54500|54500
Gordon|Wild|Atlanta United|F|90000|120000
Romario|Williams|Atlanta United|F|71500|71500
Joshua|Williams|Columbus Crew|D|200000|200000
Sheanon|Williams|LA Galaxy|D|67500|72500
Eryk|Williamson|Portland Timbers|M|110000|126500
Joe|Willis|Houston Dynamo|GK|125000|132750
Daniel|Wilson|Colorado Rapids|D|500000|540000
Henry|Wingo|Seattle Sounders FC|D-M|55650|55650
Chris|Wondolowski|San Jose Earthquakes|F|800000|800000
Travis|Worra|DC United|GK|68906|68906
Brian|Wright|New England Revolution|F|67500|67500
Bradley|Wright-Phillips|New York Red Bulls|F|1500000|1635000
Deklan|Wynne|Colorado Rapids|D|67500|67500
Joshua|Yaro|Philadelphia Union|D|140000|224000
Yoshimar|Yotun|Orlando City SC|M|549996|599996
Jackson|Yueill|San Jose Earthquakes|M|135000|196000
Wilfried|Zahibo|New England Revolution|M|474000|544000
Gyasi|Zardes|Columbus Crew|F|630000|630000
Eriq|Zavaleta|Toronto FC|D|225000|263558
Matt|Turner|New England Revolution|GK|67500|67500
Ema|Twumasi|FC Dallas|F|135000|180900
Victor|Ulloa|FC Dallas|M|180000|182500
Marco|Urena|LAFC|F|279996|294413
Maximiliano|Urruti|FC Dallas|F|700000|781000
Zarek|Valentin|Portland Timbers|D|130000|130000
Milton|Valenzuela|Columbus Crew|D|282000|313300
Diego|Valeri|Portland Timbers|M|2320000|2380000
Florian|Valot|New York Red Bulls|M|67500|71136
Gregory|Van Der Wiel|Toronto FC|D|800000|835000
Jeisson|Vargas|Montreal Impact|M|200000|200000
Brandon|Vazquez|Atlanta United|F|125004|145004
Victor|Vazquez|Toronto FC|M|1365000|1500000
Carlos|Vela|LAFC|F|4500000|6292500
Johan|Venegas|Minnesota United|M|225000|237500
David|Villa|New York City FC|F|5610000|5610000
Jorge|Villafana|Portland Timbers|D|600000|617500
Hector|Villalba|Atlanta United|F|663000|770750
Jose|Villarreal|Orlando City SC|F|85000|85000
Brandon|Vincent|Chicago Fire|D|122375|144250
Sam|Vines|Colorado Rapids|D|60000|61250
Justin|Vom Steeg|LA Galaxy|GK|54500|54500
Rodney|Wallace|New York City FC|M|300000|300000
Collen|Warner|Minnesota United|M|251004|251004
Kendall|Waston|Vancouver Whitecaps|D|575000|604167
Scott|Sutter|Orlando City SC|D|225000|225000
Gustav|Svensson|Seattle Sounders FC|M|350000|367500
Ben|Sweat|New York City FC|D|67500|67500
Brian|Sylvestre|LA Galaxy|GK|67500|67500
Saphir|Taider|Montreal Impact|M|800000|800000
Ismael|Tajouri|New York City FC|F|320000|350500
Andrew|Tarbell|San Jose Earthquakes|GK|88000|102000
Amro|Tarek|Orlando City SC|D|80000|88333
Tony|Tchani||M|320000|353333
Cristian|Techera|Vancouver Whitecaps|M|387000|412000
Russell|Teibert|Vancouver Whitecaps|M|140000|160000
Ryan|Telfer|Toronto FC|M-F|54500|54500
Mohamed|Thiaw|San Jose Earthquakes|F|54500|54500
Jerome|Thiesson|Minnesota United|D|180000|219167
Tommy|Thompson|San Jose Earthquakes|M|165000|170000
Chris|Tierney|New England Revolution|D-M|157500|165833
Anton|Tinnerholm|New York City FC|D|350000|434925
Donny|Toia|Orlando City SC|D|125004|125004
Nouhou|Tolo|Seattle Sounders FC|D|54500|54500
Roman|Torres|Seattle Sounders FC|D|575000|645000
Mason|Toye|Minnesota United|F|125000|178000
Wil|Trapp|Columbus Crew|M|500004|550004
Auston|Trusty|Philadelphia Union|D|80000|109100
Bill|Tuiloma|Portland Timbers|D-M|67500|75000
Shamit|Shome|Montreal Impact|M|100000|128500
Bobby|Shuttleworth|Minnesota United|GK|165000|181875
Danilo|Silva|LAFC|D|70000|70000
Alejandro|Silva|Montreal Impact|M|800040|800040
Marcelo|Silva|Real Salt Lake|D|675000|726625
Luis|Silva|Real Salt Lake|F-M|225000|233667
Jay|Simpson|Philadelphia Union|F|580008|623341
Seth|Sinovic|Sporting Kansas City|D|150000|157667
Axel|Sjoberg|Colorado Rapids|D|189996|194996
Jorgen|Skjelvik|LA Galaxy|D|900000|1000000
Tommy|Smith|Colorado Rapids|D|600000|640000
Brad|Smith|Seattle Sounders FC|D|529092|564365
Graham|Smith|Sporting Kansas City|D|54500|54500
Luis|Solignac|Chicago Fire|F|300000|353313
Gabriel|Somi|New England Revolution|D|391000|425000
Eduardo|Sosa|Columbus Crew|M|100000|120200
Connor|Sparrow|Real Salt Lake|GK|54504|54504
Jonathan|Spector|Orlando City SC|D|575004|636942
Mason|Stajduhar|Orlando City SC|GK|67500|67500
Mac|Steeves|Houston Dynamo|GK|54500|54500
Zack|Steffen|Columbus Crew|GK|145000|145000
Daniel|Steres|LA Galaxy|D|125004|132067
Zoltan|Stieber|DC United|M|1000000|1000000
Colton|Storm|Sporting Kansas City|D|55654|55654
Brad|Stuver|New York City FC|GK|85000|85000
Daniel|Salloi|Sporting Kansas City|F|67500|81625
Nicolas|Samayoa|New England Revolution|D|54500|54500
Richard|Sanchez|Chicago Fire|GK|130000|132500
Ilie|Sanchez|Sporting Kansas City|M|325008|330008
James|Sands|New York City FC|D-M|54500|75333
Lamine|Sane|Orlando City SC|D|807500|855000
Pedro|Santos|Columbus Crew|M|747600|794600
CJ|Sapong|Philadelphia Union|F|525000|525000
Sebastian|Saucedo|Real Salt Lake|M|100000|110500
Gaston|Sauro|Columbus Crew|D|67500|67500
Jefferson|Savarino|Real Salt Lake|F|375000|398688
Joe|Scally|New York City FC|D|54500|76317
Chris|Schuler|Orlando City SC|D|75000|81250
Rasmus|Schuller|Minnesota United|M|200004|225004
Bastian|Schweinsteiger|Chicago Fire|M|6100000|6100000
Mark|Segbers|New England Revolution|D-M|54500|57761
Ulises|Segura|DC United|M-F|137000|137000
Chris|Seitz|Houston Dynamo|GK|155004|155004
Philippe|Senderos|Houston Dynamo|D|225000|242500
Dillon|Serna|Colorado Rapids|M|95000|95000
Brandon|Servania|FC Dallas|M|135000|186000
Oliver|Shannon|Atlanta United|M|54500|54500
Brek|Shea|Vancouver Whitecaps|D-M|700000|745000
Khiry|Shelton|Sporting Kansas City|F|102245|119745
Harry|Shipp|Seattle Sounders FC|M|175000|175000
Angelo|Rodriguez|Minnesota United|F|575000|657188
Victor|Rodriguez|Seattle Sounders FC|M|1000000|1087500
Cristian|Roldan|Seattle Sounders FC|M|154000|191000
Alex|Roldan|Seattle Sounders FC|M|54500|54500
Alejandro 'Kaku'|Romero|New York Red Bulls|M|709091|709091
Dave|Romney|LA Galaxy|D|74419|74419
Wayne|Rooney|DC United|F|2769231|2776731
Oriol|Rosell|Orlando City SC|M|412500|412500
Keegan|Rosenberry|Philadelphia Union|D|114950|120763
Diego|Rossi|LAFC|F|1000000|1052000
Kelyn|Rowe|New England Revolution|M|193000|258000
Brian|Rowe|Vancouver Whitecaps|GK|135000|135000
Daniel|Royer|New York Red Bulls|M|600000|668750
Diego|Rubio Kostner|Sporting Kansas City|F|250000|266875
Raul|Ruidiaz|Seattle Sounders FC|F|2000004|2000004
Pablo|Ruiz|Real Salt Lake|M|180000|201000
Albert|Rusnak|Real Salt Lake|M|850008|925821
Johnny|Russell|Sporting Kansas City|M|1331579|1331579
Marc|Rzatkowski|New York Red Bulls|M|885000|976167
Bacary|Sagna|Montreal Impact|D|480000|525000
Steeve|Saint-Duc|LAFC|F|54500|54500
Michael|Salazar|Montreal Impact|F|67500|67500
Shea|Salinas|San Jose Earthquakes|M|200000|200000
Christian|Ramirez|LAFC|F|575000|641250
Andre|Rawls|New York City FC|GK|68915|68915
Matthew|Real|Philadelphia Union|D|54500|54500
Kris|Reaves|FC Dallas|D|67500|67500
Tommy|Redding|New York Red Bulls|D|125000|147500
Adonijah|Reid|FC Dallas|F|75000|99375
Eric|Remedi|Atlanta United|M|300000|300000
Dylan|Remick|Houston Dynamo|D|105000|106667
Yordy|Reyna|Vancouver Whitecaps|F-M|440000|533700
Bryan|Reynolds|FC Dallas|F|54500|56500
Chris|Richards|FC Dallas|D|90000|123750
Spencer|Richey|Vancouver Whitecaps|GK|68254|68254
Tosaint|Ricketts|Toronto FC|F|190008|203175
Liam|Ridgewell|Portland Timbers|D|700000|700000
Nick|Rimando|Real Salt Lake|GK|400000|422500
Alexander|Ring|New York City FC|M|550000|591667
Carlos|Rivas|New York Red Bulls|M|444996|444996
Thomas|Roberts|FC Dallas|M|60000|88750
Quillan|Roberts|LAFC|GK|67500|67500
Miles|Robinson|Atlanta United|D|135000|205000
Jalen|Robinson|DC United|D|75000|75000
Luis|Robles|New York Red Bulls|GK|460000|460000
Tony|Rocha|Orlando City SC|M|68902|68902
Memo|Rodriguez|Houston Dynamo|M|55654|55654
Jacob|Peterson||F|173568|180818
Michael|Petrasso|Montreal Impact|D-M|155004|168129
Demar|Phillips|Real Salt Lake|D|120000|126250
Ignacio|Piatti|Montreal Impact|M|500000|4713333
Fafa|Picault|Philadelphia Union|F|135000|148667
Samuel|Piette|Montreal Impact|M|120000|129234
Stefano|Pinho|Orlando City SC|F|150000|183333
Leandro|Pirez|Atlanta United|D|650004|685004
Joao|Plata|Real Salt Lake|F|525000|683333
Kevin|Politz|New York Red Bulls|D|54500|57106
Andy|Polo|Portland Timbers|F|150000|150000
Matt|Polster|Chicago Fire|M|109890|124890
Paxton|Pomykal|FC Dallas|M|85000|90000
Chris|Pontius|LA Galaxy|F-M|175000|175000
Alvas|Powell|Portland Timbers|D|225000|241625
Dillon|Powers|Orlando City SC|M|180000|180000
Jack|Price|Colorado Rapids|M|400000|407500
Kacper|Przybylko|Philadelphia Union|F|67500|67500
Andrew|Putna|Real Salt Lake|GK|67500|67500
"Valeri ""Vako"""|Qazaishvili|San Jose Earthquakes|M|1325004|1454042
Yeferson|Quintana|San Jose Earthquakes|D|300000|341250
Darwin|Quintero|Minnesota United|F|1650000|1650000
Romell|Quioto|Houston Dynamo|F|240000|252500
Joel|Qwiberg|San Jose Earthquakes|D|130000|168000
Jukka|Raitala|Montreal Impact|D|205004|241671
Wyatt|Omsberg|Minnesota United|D|54500|54500
Shane|O'Neill|Orlando City SC|D|65000|79500
Nedum|Onuoha|Real Salt Lake|D|150000|219000
Ike|Opara|Sporting Kansas City|D|325000|342917
Kofi|Opare|DC United|D|118125|133125
Edward|Opoku|Columbus Crew|F|75000|96000
Jonathan|Osorio|Toronto FC|M|201351|209825
David|Ousted|DC United|GK|350000|369167
Bertrand|Owundi Eko'o|Minnesota United|D|67500|67500
"Fernando ""Bob"""|Paixao Da Silva|Minnesota United|M|152496|152496
Frantz|Pangop|Minnesota United|M|67500|67500
James|Pantemis|Montreal Impact|GK|54500|55000
Cristhian|Paredes|Portland Timbers|M|252000|283500
Tim|Parker|New York Red Bulls|D|97185|115935
Michael|Parkhurst|Atlanta United|D|340008|340008
Kevin|Partida|San Jose Earthquakes|M|54500|54500
Caleb|Patterson-Sewell|Toronto FC|GK|67500|67500
Taylor|Peay|Real Salt Lake|D|67500|67500
Joao|Pedro|LA Galaxy|M|219996|240996
Marcos|Pedroso|FC Dallas|D|330000|330000
Ronaldo|Pena|Houston Dynamo|F|225000|225000
Cristian|Penilla|New England Revolution|F|500000|550000
Ricardo|Perez|Colorado Rapids|M|60000|61250
Josh|Perez|LAFC|F|54500|54500
Luke|Mulholland|Real Salt Lake|M|173250|173250
Patrick|Mullins|Columbus Crew|F|249996|249996
Michael|Murillo|New York Red Bulls|D|80004|88754
James|Murphy|LAFC|M|67500|87500
Danny|Musovski|San Jose Earthquakes|F|54500|54500
Jordon|Mutch|Vancouver Whitecaps|M|156000|284167
Alex|Muyl|New York Red Bulls|F|110000|114000
Chance|Myers||D|175008|175008
Darlington|Nagbe|Atlanta United|F-M|605000|620000
Adam|Najem|Philadelphia Union|M|71500|71500
Lamar|Neagle|Seattle Sounders FC|F-M|96000|99000
Michael|Nelson|Houston Dynamo|GK|54500|54500
Krisztian|Nemeth|Sporting Kansas City|F|900000|1007667
Jakob|Nerwinski|Vancouver Whitecaps|D|67500|71625
Lee|Nguyen|LAFC|M|500000|500000
Sam|Nicholson|Colorado Rapids|M|265008|311456
Nemanja|Nikolic|Chicago Fire|F|1700000|1906333
David|Norman|Vancouver Whitecaps|M|54500|55500
Sunday|Obayan|Real Salt Lake|M|275000|288000
Jimmy|Ockford|San Jose Earthquakes|D|67500|67500
Chris|Odoi-Atsem|DC United|D|54500|59500
Dom|Oduro|San Jose Earthquakes|F|330000|330000
Ebenezer|Ofori|New York City FC|M|325000|381250
Patrick|Okonkwo|Atlanta United|F|54504|65504
Lawrence|Olum|Portland Timbers|M|185004|200004
Tim|Melia|Sporting Kansas City|GK|300000|316667
Sean|Melvin|Vancouver Whitecaps|GK|54500|54500
Jonathan|Mensah|Columbus Crew|D|774996|868996
Justin|Meram|Columbus Crew|M|550008|578758
Bryan|Meredith|Seattle Sounders FC|GK|67500|67500
Nicolas|Mezquida|Vancouver Whitecaps|F-M|130000|130000
Djordje|Mihailovic|Chicago Fire|M|96000|96000
Tyler|Miller|LAFC|GK|68915|68915
Eric|Miller|Minnesota United|D|84998|105998
Roy|Miller|Portland Timbers|D|150000|150000
Ben|Mines|New York Red Bulls|M|54504|60518
Bruno|Miranda|DC United|F|67500|71976
Antonio|Mlinar Delamea|New England Revolution|D|400008|400008
Kevin|Molino|Minnesota United|M|425004|477504
Drew|Moor|Toronto FC|D|350004|350004
Joseph|Mora|DC United|D|90000|104250
Maxi|Moralez|New York City FC|M|2000000|2000000
Junior|Moreno|DC United|M|120000|139500
Ashtone|Morgan|Toronto FC|D|120000|121500
Jordan|Morris|Seattle Sounders FC|F|222000|234500
Justin|Morrow|Toronto FC|D|300000|300000
Santiago|Mosquera|FC Dallas|M|450000|541400
Joao|Moutinho|LAFC|D|130000|170000
Yura|Movsisyan|Chicago Fire|F|1850000|2073750
Chris|Mueller|Orlando City SC|F|85000|98750
Tomas|Martinez|Houston Dynamo|M|305004|487929
Felipe|Martins|Vancouver Whitecaps|M|425000|425000
Ronald|Matarrita|New York City FC|D|275000|395000
Darren|Mattocks|DC United|F|400000|416667
Aaron|Maund|Vancouver Whitecaps|D|180000|189438
Jimmy|Maurer|FC Dallas|GK|120000|122500
Chris|Mavinga|Toronto FC|D|500000|563333
Olivier|Mbaizo|Philadelphia Union|D|67500|67500
Jack|McBean|Colorado Rapids|F|68906|68906
Chris|McCann|Atlanta United|M|560000|588000
John|McCarthy|Philadelphia Union|GK|95000|104250
Dax|McCarty|Chicago Fire|M|700000|712500
Jordan|McCrary|Seattle Sounders FC|D|67500|67500
Jake|McGuire|Philadelphia Union|GK|55654|55654
Kendall|McIntosh|Portland Timbers|GK|55650|55650
Mark|McKenzie|Philadelphia Union|D|54500|64500
Patrick|McLain|Chicago Fire|GK|67500|67500
Thomas|McNamara|New York City FC|M|200000|200000
Ryan|Meara|New York Red Bulls|GK|120000|125000
Jesus|Medina|New York City FC|M|650000|770833
Jimmy|Medranda|Sporting Kansas City|D|140004|140004
Haris|Medunjanin|Philadelphia Union|M|500004|545004
Thomas|Meilleur-Giguere|Montreal Impact|D|54500|57625
Lucas|Melano|Portland Timbers|F|840000|840000
Evan|Louro|New York Red Bulls|GK|55654|55654
Daniel|Lovitz|Montreal Impact|M|86625|86625
Ben|Lundgaard|Columbus Crew|GK|54500|54500
Adam|Lundkvist|Houston Dynamo|D|405000|433750
Charlie|Lyon|LAFC|GK|67500|67500
Larrys|Mabiala|Portland Timbers|D|750000|793333
Adolfo|Machado|Houston Dynamo|D|220008|236508
Cristhian|Machado|New England Revolution|D-M|132000|150513
Zac|MacMath|Colorado Rapids|GK|170000|170000
George|Malki||D|68254|68254
Calum|Mallace|LAFC|M|80000|80000
Connor|Maloney|Columbus Crew|D|55654|55654
Michael|Mancienne|New England Revolution|D|1284768|1370268
Matteo|Mancosu|Montreal Impact|F|700000|719542
Carter|Manley|Minnesota United|D|54500|54500
Mauro|Manotas|Houston Dynamo|F|264328|264328
JT|Marcinkowski|San Jose Earthquakes|GK|120000|132000
Paul|Marie|San Jose Earthquakes|D|54500|54500
Stefan|Marinovic|Vancouver Whitecaps|GK|150000|162563
Richie|Marquez|Philadelphia Union|D|145000|151430
Chad|Marshall|Seattle Sounders FC|D|300000|341250
Collin|Martin|Minnesota United|M|95004|95004
Josef|Martinez|Atlanta United|F|1270008|1387318
Enzo|Martinez|Colorado Rapids|M|67500|67500
Cristian|Martinez|Columbus Crew|M|68915|73415
Ethan|Kutler|New York Red Bulls|D|54500|54500
Wan|Kuzain|Sporting Kansas City|M|67500|67500
Connor|Lade|New York Red Bulls|D|114000|120750
Roland|Lamah|FC Dallas|M|675000|818500
Matt|Lampson|Minnesota United|GK|100000|107500
Foster|Langsdorf|Portland Timbers|F|54500|54500
Jeff|Larentowicz|Atlanta United|M|210000|210000
Richie|Laryea|Orlando City SC|M|135000|164000
Ariel|Lassiter|LA Galaxy|F|67500|67500
Kemar|Lawrence|New York Red Bulls|D|150000|255600
Kelvin|Leerdam|Seattle Sounders FC|D|500000|575000
Wandrille|Lefevre||D|110000|119500
Jose|Leiton||F-M|67500|83000
Brooks|Lennon|Real Salt Lake|F|225000|237583
Brett|Levis|Vancouver Whitecaps|D|68250|70750
Jonathan|Lewis|New York City FC|F|90000|125500
Grant|Lillard|Chicago Fire|D|80000|82500
