Club|First Name|Last Name|Position|Base Salary|Total Compensation
Sporting Kansas City|Adrian|Zendejas|GK|55650|55650
FC Dallas|Reto|Ziegler|D|750000|800000
LAFC|Walker|Zimmerman|D|235000|235000
Atlanta United|Sal|Zizzo|D|129999.96|129999.96
FC Dallas|Kyle|Zobeck|GK|67500|67500
Sporting Kansas City|Graham|Zusi|D|750000|782102.27
Houston Dynamo|Jared|Watts|D-M|92500|92500
San Jose Earthquakes|Chris|Wehan|M|54492|57992
Houston Dynamo|Andrew|Wenger|M|230000|230000
Atlanta United|Andrew|Wheeler-Omiunu|M|55654.2|55654.2
New York Red Bulls|Brian|White|F|54500.04|54500.04
Atlanta United|Gordon|Wild|F|90000|120000
Atlanta United|Romario|Williams|F|71500|71500
Columbus Crew|Joshua|Williams|D|200000.04|200000.04
LA Galaxy|Sheanon|Williams|D|67500|72500
Portland Timbers|Eryk|Williamson|M|110000.04|126500.04
Houston Dynamo|Joe|Willis|GK|124999.92|132749.92
Colorado Rapids|Daniel|Wilson|D|500000.04|540000
Seattle Sounders FC|Henry|Wingo|D-M|55650|55650
San Jose Earthquakes|Chris|Wondolowski|F|800000|800000
DC United|Travis|Worra|GK|68906.25|68906.25
New England Revolution|Brian|Wright|F|67500|67500
New York Red Bulls|Bradley|Wright-Phillips|F|1500000|1635000
Colorado Rapids|Deklan|Wynne|D|67500|67500
Philadelphia Union|Joshua|Yaro|D|140000|224000
Orlando City SC|Yoshimar|Yotun|M|549996|599996
San Jose Earthquakes|Jackson|Yueill|M|135000|196000
New England Revolution|Wilfried|Zahibo|M|474000|544000
Columbus Crew|Gyasi|Zardes|F|630000|630000
Toronto FC|Eriq|Zavaleta|D|225000|263558.45
New England Revolution|Matt|Turner|GK|67500|67500
FC Dallas|Ema|Twumasi|F|135000|180900
FC Dallas|Victor|Ulloa|M|180000|182500
LAFC|Marco|Urena|F|279996|294412.67
FC Dallas|Maximiliano|Urruti|F|700000.08|781000.08
Portland Timbers|Zarek|Valentin|D|130000|130000
Columbus Crew|Milton|Valenzuela|D|282000|313300
Portland Timbers|Diego|Valeri|M|2320000|2380000
New York Red Bulls|Florian|Valot|M|67500|71136.45
Toronto FC|Gregory|Van Der Wiel|D|800000.04|835000.04
Montreal Impact|Jeisson|Vargas|M|200000.04|200000.04
Atlanta United|Brandon|Vazquez|F|125004|145004
Toronto FC|Victor|Vazquez|M|1365000|1500000
LAFC|Carlos|Vela|F|4500000|6292500
Minnesota United|Johan|Venegas|M|225000|237500
New York City FC|David|Villa|F|5610000|5610000
Portland Timbers|Jorge|Villafana|D|600000|617500
Atlanta United|Hector|Villalba|F|663000|770750
Orlando City SC|Jose|Villarreal|F|84999.96|84999.96
Chicago Fire|Brandon|Vincent|D|122375|144250
Colorado Rapids|Sam|Vines|D|60000|61250
LA Galaxy|Justin|Vom Steeg|GK|54500.04|54500.04
New York City FC|Rodney|Wallace|M|300000.08|300000.08
Minnesota United|Collen|Warner|M|251004|251004
Vancouver Whitecaps|Kendall|Waston|D|574999.92|604166.52
Orlando City SC|Scott|Sutter|D|225000|225000
Seattle Sounders FC|Gustav|Svensson|M|350000.04|367500.04
New York City FC|Ben|Sweat|D|67500|67500
LA Galaxy|Brian|Sylvestre|GK|67500|67500
Montreal Impact|Saphir|Taider|M|800000.04|800000.04
New York City FC|Ismael|Tajouri|F|320000.04|350500.04
San Jose Earthquakes|Andrew|Tarbell|GK|88000|102000
Orlando City SC|Amro|Tarek|D|80000.04|88333.37
|Tony|Tchani|M|320000|353333.33
Vancouver Whitecaps|Cristian|Techera|M|387000|412000
Vancouver Whitecaps|Russell|Teibert|M|140000.04|160000.04
Toronto FC|Ryan|Telfer|M-F|54500.04|54500.04
San Jose Earthquakes|Mohamed|Thiaw|F|54500.04|54500.04
Minnesota United|Jerome|Thiesson|D|180000|219166.67
San Jose Earthquakes|Tommy|Thompson|M|165000|170000
New England Revolution|Chris|Tierney|D-M|157500|165833.33
New York City FC|Anton|Tinnerholm|D|350000.04|434925.04
Orlando City SC|Donny|Toia|D|125004|125004
Seattle Sounders FC|Nouhou|Tolo|D|54500|54500
Seattle Sounders FC|Roman|Torres|D|575000.04|645000.04
Minnesota United|Mason|Toye|F|124999.92|177999.92
Columbus Crew|Wil|Trapp|M|500004|550004
Philadelphia Union|Auston|Trusty|D|80000|109100
Portland Timbers|Bill|Tuiloma|D-M|67500|75000
Montreal Impact|Shamit|Shome|M|100000.08|128500.08
Minnesota United|Bobby|Shuttleworth|GK|165000|181875
LAFC|Danilo|Silva|D|69999.96|69999.96
Montreal Impact|Alejandro|Silva|M|800040|800040
Real Salt Lake|Marcelo|Silva|D|675000|726625
Real Salt Lake|Luis|Silva|F-M|225000|233666.67
Philadelphia Union|Jay|Simpson|F|580008|623341.33
Sporting Kansas City|Seth|Sinovic|D|150000|157666.67
Colorado Rapids|Axel|Sjoberg|D|189996|194996
LA Galaxy|Jorgen|Skjelvik|D|900000|1000000
Colorado Rapids|Tommy|Smith|D|600000|639999.96
Seattle Sounders FC|Brad|Smith|D|529092|564364.67
Sporting Kansas City|Graham|Smith|D|54500.04|54500.04
Chicago Fire|Luis|Solignac|F|300000|353312.5
New England Revolution|Gabriel|Somi|D|390999.96|424999.96
Columbus Crew|Eduardo|Sosa|M|99999.96|120199.96
Real Salt Lake|Connor|Sparrow|GK|54504|54504
Orlando City SC|Jonathan|Spector|D|575004|636941.5
Orlando City SC|Mason|Stajduhar|GK|67500|67500
Houston Dynamo|Mac|Steeves|GK|54500.04|54500.04
Columbus Crew|Zack|Steffen|GK|145000|145000
LA Galaxy|Daniel|Steres|D|125004|132066.6
DC United|Zoltan|Stieber|M|999999.96|999999.96
Sporting Kansas City|Colton|Storm|D|55654.2|55654.2
New York City FC|Brad|Stuver|GK|84999.96|84999.96
Sporting Kansas City|Daniel|Salloi|F|67500|81625
New England Revolution|Nicolas|Samayoa|D|54500.04|54500.04
Chicago Fire|Richard|Sanchez|GK|130000.08|132500.08
Sporting Kansas City|Ilie|Sanchez|M|325008|330008
New York City FC|James|Sands|D-M|54500.04|75333.37
Orlando City SC|Lamine|Sane|D|807500.04|855000.04
Columbus Crew|Pedro|Santos|M|747600|794600
Philadelphia Union|CJ|Sapong|F|525000|525000
Real Salt Lake|Sebastian|Saucedo|M|100000|110500
Columbus Crew|Gaston|Sauro|D|67500|67500
Real Salt Lake|Jefferson|Savarino|F|375000|398687.65
New York City FC|Joe|Scally|D|54500.04|76316.71
Orlando City SC|Chris|Schuler|D|75000|81250
Minnesota United|Rasmus|Schuller|M|200004|225004
Chicago Fire|Bastian|Schweinsteiger|M|6100000.08|6100000.08
New England Revolution|Mark|Segbers|D-M|54500.04|57760.82
DC United|Ulises|Segura|M-F|136999.92|136999.92
Houston Dynamo|Chris|Seitz|GK|155004|155004
Houston Dynamo|Philippe|Senderos|D|225000|242500
Colorado Rapids|Dillon|Serna|M|95000.04|95000.04
FC Dallas|Brandon|Servania|M|135000|186000
Atlanta United|Oliver|Shannon|M|54500.04|54500.04
Vancouver Whitecaps|Brek|Shea|D-M|700000|745000
Sporting Kansas City|Khiry|Shelton|F|102245|119745
Seattle Sounders FC|Harry|Shipp|M|174999.96|174999.96
Minnesota United|Angelo|Rodriguez|F|575000.04|657187.54
Seattle Sounders FC|Victor|Rodriguez|M|999999.96|1087499.96
Seattle Sounders FC|Cristian|Roldan|M|154000|191000
Seattle Sounders FC|Alex|Roldan|M|54500.04|54500.04
New York Red Bulls|Alejandro 'Kaku'|Romero|M|709090.8|709090.8
LA Galaxy|Dave|Romney|D|74418.75|74418.75
DC United|Wayne|Rooney|F|2769230.88|2776730.88
Orlando City SC|Oriol|Rosell|M|412500|412500
Philadelphia Union|Keegan|Rosenberry|D|114950|120762.5
LAFC|Diego|Rossi|F|1000000.08|1052000.08
New England Revolution|Kelyn|Rowe|M|193000|258000
Vancouver Whitecaps|Brian|Rowe|GK|135000|135000
New York Red Bulls|Daniel|Royer|M|600000|668750
Sporting Kansas City|Diego|Rubio Kostner|F|250000|266875
Seattle Sounders FC|Raul|Ruidiaz|F|2000004|2000004
Real Salt Lake|Pablo|Ruiz|M|180000|201000
Real Salt Lake|Albert|Rusnak|M|850008|925820.5
Sporting Kansas City|Johnny|Russell|M|1331578.92|1331578.92
New York Red Bulls|Marc|Rzatkowski|M|885000|976166.66
Montreal Impact|Bacary|Sagna|D|480000|525000
LAFC|Steeve|Saint-Duc|F|54500.04|54500.04
Montreal Impact|Michael|Salazar|F|67500|67500
San Jose Earthquakes|Shea|Salinas|M|200000|200000
LAFC|Christian|Ramirez|F|575000.04|641250.04
New York City FC|Andre|Rawls|GK|68915.07|68915.07
Philadelphia Union|Matthew|Real|D|54500.04|54500.04
FC Dallas|Kris|Reaves|D|67500|67500
New York Red Bulls|Tommy|Redding|D|125000|147500
FC Dallas|Adonijah|Reid|F|75000|99375
Atlanta United|Eric|Remedi|M|300000|300000
Houston Dynamo|Dylan|Remick|D|105000|106666.67
Vancouver Whitecaps|Yordy|Reyna|F-M|440000.04|533700.04
FC Dallas|Bryan|Reynolds|F|54500|56500
FC Dallas|Chris|Richards|D|90000|123750
Vancouver Whitecaps|Spencer|Richey|GK|68254.2|68254.2
Toronto FC|Tosaint|Ricketts|F|190008|203174.67
Portland Timbers|Liam|Ridgewell|D|700000|700000
Real Salt Lake|Nick|Rimando|GK|399999.96|422499.96
New York City FC|Alexander|Ring|M|550000|591666.67
New York Red Bulls|Carlos|Rivas|M|444996|444996
FC Dallas|Thomas|Roberts|M|60000|88750
LAFC|Quillan|Roberts|GK|67500|67500
Atlanta United|Miles|Robinson|D|135000|205000
DC United|Jalen|Robinson|D|75000|75000
New York Red Bulls|Luis|Robles|GK|460000.08|460000.08
Orlando City SC|Tony|Rocha|M|68901.84|68901.84
Houston Dynamo|Memo|Rodriguez|M|55654.2|55654.2
|Jacob|Peterson|F|173568|180818
Montreal Impact|Michael|Petrasso|D-M|155003.64|168128.64
Real Salt Lake|Demar|Phillips|D|120000|126250
Montreal Impact|Ignacio|Piatti|M|500000.04|4713333.37
Philadelphia Union|Fafa|Picault|F|135000|148666.67
Montreal Impact|Samuel|Piette|M|120000|129234.37
Orlando City SC|Stefano|Pinho|F|150000|183333.33
Atlanta United|Leandro|Pirez|D|650004|685004
Real Salt Lake|Joao|Plata|F|525000|683333.33
New York Red Bulls|Kevin|Politz|D|54500.04|57105.51
Portland Timbers|Andy|Polo|F|150000|150000
Chicago Fire|Matt|Polster|M|109890|124890
FC Dallas|Paxton|Pomykal|M|85000|90000
LA Galaxy|Chris|Pontius|F-M|174999.96|174999.96
Portland Timbers|Alvas|Powell|D|225000|241625
Orlando City SC|Dillon|Powers|M|180000|180000
Colorado Rapids|Jack|Price|M|399999.96|407499.96
Philadelphia Union|Kacper|Przybylko|F|67500|67500
Real Salt Lake|Andrew|Putna|GK|67500|67500
San Jose Earthquakes|Valeri "Vako"|Qazaishvili|M|1325004|1454042.36
San Jose Earthquakes|Yeferson|Quintana|D|300000|341250
Minnesota United|Darwin|Quintero|F|1650000|1650000
Houston Dynamo|Romell|Quioto|F|240000|252500
