Club|Last Name|First Name|Pos|Base Salary|Compensation|year
Sporting Kansas City|Zendejas|Adrian|GK|55650|55650|2018
FC Dallas|Ziegler|Reto|D|750000|8e+05|2018
LAFC|Zimmerman|Walker|D|235000|235000|2018
Atlanta United|Zizzo|Sal|D|129999.96|129999.96|2018
FC Dallas|Zobeck|Kyle|GK|67500|67500|2018
Sporting Kansas City|Zusi|Graham|D|750000|782102.27|2018
Houston Dynamo|Watts|Jared|D-M|92500|92500|2018
San Jose Earthquakes|Wehan|Chris|M|54492|57992|2018
Houston Dynamo|Wenger|Andrew|M|230000|230000|2018
Atlanta United|Wheeler-Omiunu|Andrew|M|55654.2|55654.2|2018
New York Red Bulls|White|Brian|F|54500.04|54500.04|2018
Atlanta United|Wild|Gordon|F|90000|120000|2018
Atlanta United|Williams|Romario|F|71500|71500|2018
Columbus Crew|Williams|Joshua|D|200000.04|200000.04|2018
LA Galaxy|Williams|Sheanon|D|67500|72500|2018
Portland Timbers|Williamson|Eryk|M|110000.04|126500.04|2018
Houston Dynamo|Willis|Joe|GK|124999.92|132749.92|2018
Colorado Rapids|Wilson|Daniel|D|500000.04|540000|2018
Seattle Sounders FC|Wingo|Henry|D-M|55650|55650|2018
San Jose Earthquakes|Wondolowski|Chris|F|8e+05|8e+05|2018
DC United|Worra|Travis|GK|68906.25|68906.25|2018
New England Revolution|Wright|Brian|F|67500|67500|2018
New York Red Bulls|Wright-Phillips|Bradley|F|1500000|1635000|2018
Colorado Rapids|Wynne|Deklan|D|67500|67500|2018
Philadelphia Union|Yaro|Joshua|D|140000|224000|2018
Orlando City SC|Yotun|Yoshimar|M|549996|599996|2018
San Jose Earthquakes|Yueill|Jackson|M|135000|196000|2018
New England Revolution|Zahibo|Wilfried|M|474000|544000|2018
Columbus Crew|Zardes|Gyasi|F|630000|630000|2018
Toronto FC|Zavaleta|Eriq|D|225000|263558.45|2018
New England Revolution|Turner|Matt|GK|67500|67500|2018
FC Dallas|Twumasi|Ema|F|135000|180900|2018
FC Dallas|Ulloa|Victor|M|180000|182500|2018
LAFC|Urena|Marco|F|279996|294412.67|2018
FC Dallas|Urruti|Maximiliano|F|700000.08|781000.08|2018
Portland Timbers|Valentin|Zarek|D|130000|130000|2018
Columbus Crew|Valenzuela|Milton|D|282000|313300|2018
Portland Timbers|Valeri|Diego|M|2320000|2380000|2018
New York Red Bulls|Valot|Florian|M|67500|71136.45|2018
Toronto FC|Van Der Wiel|Gregory|D|800000.04|835000.04|2018
